ward_code,ward_name,sale_year,total_sales,avg_price,med_price,total_crimes,avg_crimes_typed,usual_res_16_over,level_4_above,pc_highly_educated,total_estimated_jobs,pc_knowledge_jobs,total_schools
E05010892,Central,2019,340,1201558,305000,786.9,196.725,17233,7335,42.563685951372364,119375,52.98,5
E05010892,Central,2020,266,1030159,322000,853.1,44.9,17233,7335,42.563685951372364,119375,52.98,5
E05010892,Central,2021,394,701399,310000,1245,65.52631578947368,17233,7335,42.563685951372364,119375,52.98,5
E05010892,Central,2022,366,878311,275000,1126.4,59.28421052631579,17233,7335,42.563685951372364,119375,52.98,5
E05010892,Central,2023,227,1017524,287000,1064.4,56.02105263157895,17233,7335,42.563685951372364,119375,52.98,5
E05010892,Central,2024,198,1085824,330000,1085.8,57.14736842105263,17233,7335,42.563685951372364,119375,52.98,5
E05010893,Clifton,2016,256,490490,385000,81.1,20.275,11885,7116,59.87379049221708,7960,34.55,4
E05010893,Clifton,2017,235,558964,420000,86.8,21.7,11885,7116,59.87379049221708,7960,34.55,4
E05010893,Clifton,2018,229,539583,425000,94.6,23.65,11885,7116,59.87379049221708,7960,34.55,4
E05010893,Clifton,2019,223,567413,404000,98.39999999999999,24.599999999999998,11885,7116,59.87379049221708,7960,34.55,4
E05010893,Clifton,2020,216,539799,420000,156,8.210526315789474,11885,7116,59.87379049221708,7960,34.55,4
E05010893,Clifton,2021,342,612668,440000,157,8.263157894736842,11885,7116,59.87379049221708,7960,34.55,4
E05010893,Clifton,2022,285,682960,450000,162,8.526315789473685,11885,7116,59.87379049221708,7960,34.55,4
E05010893,Clifton,2023,215,602981,453000,158.5,8.342105263157896,11885,7116,59.87379049221708,7960,34.55,4
E05010893,Clifton,2024,231,667567,450000,187,9.842105263157896,11885,7116,59.87379049221708,7960,34.55,4
E05010894,Clifton Down,2016,242,415556,360000,111.5,27.875,10611,6159,58.04353972292904,7360,52.99,2
E05010894,Clifton Down,2017,226,521590,395000,135,33.75,10611,6159,58.04353972292904,7360,52.99,2
